episod,total_reward,z_pos
431,-62.36071605498131,0.0
432,-62.169741664798266,0.0
433,-59.65463241215843,0.0
434,-62.31517071247998,0.0
435,-62.5969704162036,0.0
436,-62.457987693703075,0.0
437,-62.448282133741706,0.0
438,-62.30517735449134,0.0
439,-62.491207970546384,0.0
440,-62.473680157369365,0.0
441,-62.32862706563174,0.0
442,-62.30823047397419,0.0
443,-62.37700952103551,0.0
444,-62.25773436228046,0.0
445,-62.308817758668084,0.0
446,-62.25340623259811,0.0
447,-62.349156365541,0.0
448,-62.13840039949122,0.0
449,-62.44636833881972,0.0
450,-62.0861534578114,0.0
451,-62.16204384387301,0.0
452,-62.3220212841984,0.0
453,-62.490474887194246,0.0
454,-62.485679892023676,0.0
455,-62.130037377748295,0.0
456,-62.273004922612365,0.0
457,-62.3311816420902,0.0
458,-3.4809511453519995,9.62021985628639
459,241.89553259289409,37.17272742963299
460,241.7049567399907,36.80385460374274
461,241.23215112597984,36.321208652129194
462,241.6852161434444,37.048543682242936
463,242.33973287056025,37.32210687674692
464,242.08342865128944,37.16392246651041
465,241.2825706913433,36.93883648972859
466,241.32449405853157,36.82404868910919
467,241.64234581134644,36.80553052566751
468,242.0783255508168,37.2130020872974
469,241.51171893774384,36.91194764806891
470,241.4895766056075,37.0431907164982
471,241.58595606274216,36.83823893254098
472,241.65973176246737,36.873198654733216
473,242.10392971540668,37.24226320741379
474,242.02491884905277,36.94462234909939
475,241.47024316448682,35.91072046073213
476,241.9283986424415,37.17413712881783
477,241.83845773106103,37.14684344539148
478,241.9686325818857,36.92969974502625
479,241.6652112536246,36.47324987415829
480,241.9498679598686,37.140659342764906
481,241.7189375559718,36.71708938066027
482,241.39997998084786,36.96467445090956
483,241.38353188516635,36.9579564144764
484,241.5872551757344,36.82478645108868
485,241.38294609801898,36.89610672377485
486,241.68629625527524,36.867708765971145
487,241.9374689522215,37.15460592550654
488,241.34359003793946,36.957949422722635
489,241.84199988020987,36.77771861137584
490,241.91341034344612,37.149107494709995
491,241.40804335947357,36.999192343372854
492,241.27243226397343,36.51772990527902
493,241.97460151490426,36.93646441217255
494,241.60255809361462,36.997143555140674
495,242.39678251328942,37.022177282509176
496,242.13028697724488,36.73480015633026
497,241.41406285234362,37.03445494197809
498,241.88358644744176,36.62654496358389
499,241.91955184665466,35.53721245067085
500,241.59637108645543,37.02905809598942
501,241.41457058210682,37.017081756604384
502,241.69883844138238,37.09163839853365
503,241.51824490769172,36.13187007978526
504,242.00213911819526,37.18957802038859
505,242.04569897016785,37.05745491554794
506,241.96460744679493,37.08643733374809
507,242.20004220191154,37.13665084010735
508,241.6544411542403,36.95796695929454
509,241.14962805305132,36.85266191365179
510,241.7553034372057,37.14490989033143
511,241.04097141828854,36.91925063183314
512,241.32335962233984,36.976850011980765
513,240.90604694299526,36.662805439179905
514,241.3384211512326,36.62599126233547
515,241.69956905820246,36.959043486761956
516,241.77883757610317,37.12151311850234
517,242.0077544907838,37.16295254296873
518,242.04079750616697,37.084727659534735
519,241.88541146297325,37.134060566459965
520,241.7471061477843,37.11847212782528
521,241.9984026152351,36.54926951722709
522,241.31691908222834,37.0352258935786
523,242.28611930886314,37.27431399062194
524,241.5485713355519,36.937440771204244
525,241.3660478667249,36.94838314260282
526,241.62341260172786,36.72309210245063
527,242.12374727891253,36.974049858045014
528,241.49974980254711,36.54221169042509
529,241.59899276740154,36.87964646300171
530,241.99575436939224,36.86277076281588
531,241.54707954338045,37.139318832946735
532,241.1483662787339,36.95225514205712
533,241.54671220511415,36.99157656770607
534,241.80744525714272,37.093454972423494
535,241.92636496226694,37.141915990771096
536,241.47277630316782,36.786034137509304
537,241.93174624939786,37.173890779464145
538,241.88042921960243,36.96197431953932
539,241.7263547463584,36.63173922149495
